q1g,q2g,q3g
-2.317771344284791368e-01,-1.227024820905603941e-01,2.238184510327959065e-01
-2.302569558108963632e-01,-1.250256196062415892e-01,2.244578196885922139e-01
-2.287974730468335660e-01,-1.266142555077926779e-01,2.257995761694505388e-01
-2.276582644842763958e-01,-1.269554217742903945e-01,2.278817640501176744e-01
-2.268901111724720698e-01,-1.263991575038733162e-01,2.302105774888013601e-01
-2.262242859439091702e-01,-1.259538820536887926e-01,2.322510902945967015e-01
-2.254724507223216101e-01,-1.263591526842840207e-01,2.335796923593177754e-01
-2.248573031923898347e-01,-1.274486622259594359e-01,2.338305435675233357e-01
-2.247895820454429983e-01,-1.284550168015879124e-01,2.328551528993149378e-01
-2.254231472783056467e-01,-1.287856658433415014e-01,2.309110074175242111e-01
-2.265350539923507711e-01,-1.283878374158287372e-01,2.285994371280185011e-01
-2.277469748835161678e-01,-1.274207077195080029e-01,2.267532381214832637e-01
-2.287578831926415923e-01,-1.259114479788851770e-01,2.262072792013121170e-01
-2.294077689166679757e-01,-1.240220305350767660e-01,2.271991419405336443e-01
-2.296823397673958822e-01,-1.223262061825308444e-01,2.289863381801425235e-01
-2.297233711709233406e-01,-1.213827055772056379e-01,2.304110238285221046e-01
-2.297679933218441939e-01,-1.211471425433027355e-01,2.308498322895890797e-01
-2.299431458191183997e-01,-1.211578081720328243e-01,2.305031438449180459e-01
-2.301379935232041318e-01,-1.211194628201406193e-01,2.299904648420086073e-01
-2.301253692916974125e-01,-1.210519600479641328e-01,2.299078889187265995e-01
-2.297656150971084665e-01,-1.210473867003650367e-01,2.306182033831201128e-01
-2.290306761316201201e-01,-1.211606765953278791e-01,2.321902748657558302e-01
-2.279656447043129641e-01,-1.213648623770119811e-01,2.344359180466253634e-01
-2.267667491912806477e-01,-1.214393170952894896e-01,2.369580633913698775e-01
-2.257953002981892554e-01,-1.210464355510547652e-01,2.392263927120550360e-01
-2.253781977175774720e-01,-1.201362097962233866e-01,2.406531453334248560e-01
-2.255820033401928493e-01,-1.192004700370798698e-01,2.407444499688133899e-01
-2.261831586994189347e-01,-1.188810930757623896e-01,2.394751407314640590e-01
-2.267481608811121874e-01,-1.193983188494740499e-01,2.376184962165737713e-01
-2.267860987678096407e-01,-1.205050599309628601e-01,2.364197188357166635e-01
-2.260250029091757928e-01,-1.219098583051420326e-01,2.366233142700482628e-01
-2.246895553891111730e-01,-1.234631200240596804e-01,2.378300653835513923e-01
-2.234754691696055617e-01,-1.249135039242834089e-01,2.388800420239840239e-01
-2.231058781170438265e-01,-1.257282873573016269e-01,2.388984236116376003e-01
-2.237500950683379008e-01,-1.253720966181459395e-01,2.380834429334023616e-01
-2.247955310492516234e-01,-1.239144319353679968e-01,2.375079948904594840e-01
-2.252499044828486507e-01,-1.223122439233290254e-01,2.380918308286902596e-01
-2.245297569931895276e-01,-1.217881248895810592e-01,2.397633726853493075e-01
-2.229345257056613017e-01,-1.227421463522293532e-01,2.416556103551292523e-01
-2.213503110557397957e-01,-1.244377563327476316e-01,2.429203316902178722e-01
-2.205000959548989448e-01,-1.258450198803412745e-01,2.432165346450076426e-01
-2.204455448371659132e-01,-1.265864587265576879e-01,2.427002081067751171e-01
-2.207436803694839966e-01,-1.269310270596895607e-01,2.418340643431191872e-01
-2.209936312407971004e-01,-1.271575008837679266e-01,2.410834910488835470e-01
-2.211848850175174297e-01,-1.271975210761539798e-01,2.405947982531487506e-01
-2.215032690873466881e-01,-1.269027723800884300e-01,2.401978893639657164e-01
-2.219300271139596770e-01,-1.264354871175877304e-01,2.397336834993929744e-01
-2.222183628101077058e-01,-1.261727253771416368e-01,2.392616653143301575e-01
-2.222380926724535077e-01,-1.261923746787344813e-01,2.389997588328046929e-01
-2.221588162262408961e-01,-1.261247184719569148e-01,2.391036244940333844e-01
-2.221722162985472759e-01,-1.257598484991026555e-01,2.394857627916712750e-01
-2.221496167007673828e-01,-1.255404198897418777e-01,2.399030152839627950e-01
-2.216936783773702513e-01,-1.260917381234444301e-01,2.403530173429757333e-01
-2.205210135211033429e-01,-1.274507985528330889e-01,2.412081320880151147e-01
-2.187525022607056113e-01,-1.290760844753600367e-01,2.427392368366779740e-01
-2.168440803580415077e-01,-1.304224576582387052e-01,2.446951052879285660e-01
-2.152806669279619389e-01,-1.312155215188018365e-01,2.465679664755705269e-01
-2.143621661427963510e-01,-1.313480156279733246e-01,2.480412835698275753e-01
-2.141977825910807709e-01,-1.307941748572724328e-01,2.490255825579345828e-01
-2.147539228955739343e-01,-1.296006947163643730e-01,2.495275179280616040e-01
-2.157987876281040884e-01,-1.279541948240819904e-01,2.496798263651642813e-01
-2.168914472955459083e-01,-1.263573112090692063e-01,2.496409426478620741e-01
-2.175498474572210850e-01,-1.255591417418340239e-01,2.494280052887086763e-01
-2.175189981294002317e-01,-1.259788328089329890e-01,2.490481447601272935e-01
-2.169076116514204733e-01,-1.272093927803553959e-01,2.487539372902954904e-01
-2.160338732167900455e-01,-1.284030471132720508e-01,2.488980732383397065e-01
-2.151535958567014073e-01,-1.291224147283997481e-01,2.495089170672160073e-01
-2.143290267951493133e-01,-1.295914535726783168e-01,2.502439282517142094e-01
-2.135042829203301351e-01,-1.301518023191299001e-01,2.508352055613383702e-01
-2.126335174108187620e-01,-1.307718096276841435e-01,2.514137997480145326e-01
-2.117874271367859995e-01,-1.311409540639166538e-01,2.522337619018206190e-01
-2.111503604681909119e-01,-1.310309132022829393e-01,2.532467632916262090e-01
-2.108929911280458258e-01,-1.304390788929342959e-01,2.541297525193163542e-01
-2.110480789319515438e-01,-1.294824400840926815e-01,2.546584338703185568e-01
-2.114911734130889009e-01,-1.283232412226180397e-01,2.548958310696980978e-01
-2.120231074982491248e-01,-1.271702810063030931e-01,2.550445757215532017e-01
-2.124831754866677858e-01,-1.262731998554910695e-01,2.551926780683159701e-01
